"Pirámides de población de 1910 a 2050\nEstados Unidos Mexicanos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuente:,"INEGI. Censos y conteos de población y vivienda, 1910-2010.",,,,,,,,,,,,,Estimaciones del CONAPO. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 a 9,1045325,899300,1124529,1387439,1809455,2611134,3788267,5111032,5223949,5351919,5537612,5172611,5443362,4524304,4377560,4355088,4333599,4312014,4289580,4265888,4240721,4213869,4185107,4154109,4120406,4083861,4044979,4004443,3962660,3919664,3875508,3830677,3785793,3741290,3697362,3654148,3611949,3571097,3531870,3494480,3458990,3425301,3393237,3362694,3333672
10 a 14,778386,857428,804025,1155925,1510103,2123820,3125059,4519676,5158434,5265787,5300756,5406213,5392324,4865930,4428589,4394448,4363764,4335494,4309441,4285629,4263738,4242806,4221770,4199897,4176785,4152224,4126011,4097923,4067638,4034698,3998975,3960958,3921321,3880457,3838403,3795208,3751350,3707441,3663901,3620922,3578639,3537344,3497371,3458989,3422402
15 a 19,851657,822415,892277,1026795,1383574,1796434,2563344,3889851,4904511,5119828,5082487,5113115,5505991,5141582,4701121,4551988,4442904,4367111,4316985,4279668,4246885,4217375,4190190,4165140,4142249,4121213,4101090,4080851,4059790,4037528,4013867,3988605,3961520,3932299,3900505,3866021,3829323,3791055,3751601,3710990,3669277,3626921,3584516,3542469,3500962
20 a 24,712354,704051,842218,807821,1232570,1542203,2102041,3182353,4091035,4858738,4767534,4711189,5079067,4985068,4927083,4918989,4869090,4784803,4662361,4508666,4365663,4261020,4188286,4140243,4104636,4073403,4045245,4019310,3995416,3973586,3953528,3934339,3915035,3894937,3873683,3851081,3826936,3801039,3773089,3742667,3709658,3674518,3637867,3600075,3561168
25 a 29,787212,655473,773330,839439,1038032,1308904,1685004,2479332,3353917,3960095,4296261,4297634,4582202,4778698,4813606,4800386,4781844,4761720,4753388,4762983,4756237,4709188,4628802,4511177,4362714,4224251,4122908,4052470,4006029,3971757,3941726,3914607,3889634,3866625,3845608,3826299,3807831,3789250,3769905,3749433,3727649,3704365,3679384,3652415,3623049
30 a 34,397315,526496,581105,684385,732880,1042530,1310802,1952431,2808883,3412143,3753167,4187977,4444767,4554967,4663339,4683358,4698372,4706515,4707706,4701794,4689851,4672706,4654009,4646790,4657041,4651373,4606374,4528692,4414302,4269291,4133819,4034671,3965776,3920430,3887078,3857869,3831462,3807146,3784747,3764289,3745497,3727523,3709442,3690610,3670669
35 a 39,555278,468920,528873,700956,798406,961540,1276364,1742361,2368551,3015882,3329210,3741154,4328249,4345749,4475045,4498502,4520974,4542595,4563230,4584322,4604707,4620239,4629071,4631100,4626151,4615259,4599237,4581680,4575394,4586274,4581494,4537987,4462197,4350058,4207466,4074125,3976567,3908812,3864294,3831641,3803066,3777211,3753408,3731485,3711465
40 a 44,248685,388374,427258,487542,622483,687017,973863,1385492,1792757,2261276,2700062,3145719,3658904,4118903,4278400,4300741,4326619,4354990,4383503,4409578,4433343,4456120,4478062,4499057,4520550,4541394,4557493,4567018,4569846,4565792,4555864,4540862,4524333,4518919,4530439,4526471,4484205,4409955,4299658,4159105,4027605,3931452,3864733,3820986,3788992
45 a 49,353926,270356,321042,395234,538851,623126,807299,1180940,1519287,1848947,2114914,2627106,3104366,3677563,4049034,4099772,4138319,4167117,4190043,4211255,4234219,4260639,4289483,4318439,4344963,4369189,4392431,4414849,4436350,4458369,4479781,4496543,4506833,4510523,4507417,4498508,4484576,4469120,4464637,4476873,4473764,4432734,4360009,4251557,4113094
50 a 54,135904,249008,289495,316775,422867,536031,602255,951079,1231916,1477541,1733920,2130930,2661840,3151298,3600167,3682082,3762027,3837918,3908408,3970984,4022080,4061200,4090737,4114486,4136537,4160291,4187418,4216899,4246462,4273604,4298466,4322353,4345430,4367619,4390343,4412503,4430108,4441356,4446103,4444146,4436463,4423815,4409647,4406294,4419437
55 a 59,235923,137669,162441,219560,266725,394697,510330,733400,975620,1148604,1325159,1619090,2025828,2557352,3060929,3155223,3247102,3336557,3422736,3505656,3587128,3666742,3742454,3812918,3875664,3927203,3967043,3997507,4022304,4045429,4070210,4098266,4128596,4158970,4186941,4212662,4237427,4261405,4284527,4308206,4331371,4350107,4362620,4368751,4368291
60 a 64,78492,166663,198588,214752,288877,372721,466784,573284,841400,1012303,1152742,1378688,1639799,1957460,2446944,2548784,2649341,2748106,2844721,2939375,3032008,3122393,3210513,3295552,3377536,3458225,3537206,3612481,3682718,3745504,3797470,3838126,3869713,3895818,3920313,3946412,3975666,4007093,4038520,4067579,4094440,4120383,4145577,4169961,4194915
65 a 69,84353,64512,85809,115317,169447,210710,357184,458400,616010,751805,881119,1035477,1221992,1477965,1824706,1911422,2003063,2097979,2194730,2292408,2390111,2486778,2581919,2675185,2766744,2856524,2944293,3030029,3112958,3193117,3272185,3349753,3423887,3493280,3555622,3607715,3649098,3681883,3709491,3735602,3763266,3793930,3826630,3859289,3889656
70 a 74,28308,58072,74771,84082,127214,172083,246245,365882,432996,558734,656568,793414,1000041,1089735,1319751,1374654,1433421,1497032,1566187,1641057,1721408,1806361,1894439,1984371,2075347,2166544,2256998,2346260,2434006,2520389,2605322,2688578,2770127,2849241,2925981,3001901,3076592,3148232,3215562,3276433,3327921,3369590,3403388,3432479,3460268
75 a 79,34741,24796,33856,44801,65981,96620,133077,251658,313001,348643,454073,557475,665794,755279,908832,944500,982368,1022718,1065736,1111472,1159914,1211802,1268003,1329117,1395288,1466300,1541420,1619419,1699231,1780181,1861555,1942528,2022712,2101823,2179999,2257147,2333043,2407658,2480334,2551146,2621481,2690937,2757859,2821077,2878686
80 a 84,8849,25445,32313,33485,51499,70491,100196,156872,222012,240197,266546,360660,443659,473833,569871,592451,616181,641088,667257,694820,723969,754952,787996,823251,860767,900547,943206,989457,1039786,1094298,1152804,1214757,1279210,1345347,1412653,1480557,1548408,1615896,1682796,1749230,1815104,1880218,1944535,2007500,2069204
85 a 89,7908,7043,9607,13139,38870,29739,95517,65725,126151,140644,165010,194537,256703,257093,307564,319720,332670,346416,360967,376350,392590,409691,427682,446625,466622,487814,510385,534491,560248,587694,616844,648163,682179,719245,759420,802557,848290,895989,945112,995310,1046179,1097270,1148368,1199315,1250217
90 a 94,2176,4726,6191,6592,,17063,,32231,53168,60361,71163,77934,96794,112052,132349,137519,143025,148887,155132,161799,168920,176516,184593,193159,202237,211848,221996,232703,244008,255983,268717,282316,296874,312461,329106,346824,365918,386717,409430,434080,460562,488686,518110,548538,579790
95 a 99,1980,2197,2833,3564,,21707,,16326,22620,29048,37151,36706,39812,32629,39948,41385,42925,44614,46469,48486,50646,52953,55416,58045,60860,63873,67095,70531,74187,78072,82201,86576,91210,96126,101354,106939,112927,119361,126270,133669,141570,150120,159474,169726,180873
100 y más,505,1198,1580,1694,,,,9350,12075,8909,11728,10953,11247,6504,6955,7281,7639,8001,8349,8702,9076,9486,9929,10413,10932,11486,12081,12721,13410,14150,14944,15798,16709,17681,18719,19833,21018,22278,23623,25064,26612,28283,30083,32019,34104
No especificado,9856,69256,24,2064,26135,48879,,100495,252207,111643,1020126,1404521,697187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
